#################### ENEMIES ####################
AVAILABLE ENEMIES ->: 
	FireBug.tscn,LeafBug.tscn

FORMAT ->:
	["Enemy.tscn", (amount), (time between spawns), (time from wavestart until first enemy spawn), (last?)]
	#Enemies are spawned from left to right.

#################### WAVE DATA ####################
1;["FireBug.tscn",20,0.4,0,true]
2;["FireBug.tscn",30,0.35,0,true]
3;["FireBug.tscn",40,0.3,0,false];["LeafBug.tscn",5,1.5,5,true]
4;["FireBug.tscn",50,0.28,0,false];["LeafBug.tscn",8,1.4,6,true]
5;["FireBug.tscn",60,0.25,0,false];["LeafBug.tscn",10,1.3,6,true]

6;["FireBug.tscn",70,0.25,0,false];["LeafBug.tscn",12,1.2,6,true]
7;["FireBug.tscn",80,0.22,0,false];["LeafBug.tscn",14,1.1,6,true]
8;["FireBug.tscn",90,0.22,0,false];["LeafBug.tscn",16,1.0,6,true]
9;["FireBug.tscn",100,0.2,0,false];["LeafBug.tscn",18,1.0,6,true]
10;["LeafBug.tscn",25,0.9,0,false];["MagmaCrab.tscn",2,4,10,true]

11;["FireBug.tscn",120,0.18,0,false];["LeafBug.tscn",20,0.9,6,true]
12;["FireBug.tscn",130,0.18,0,false];["LeafBug.tscn",22,0.9,6,true]
13;["FireBug.tscn",140,0.16,0,false];["LeafBug.tscn",24,0.85,6,true]
14;["FireBug.tscn",150,0.16,0,false];["LeafBug.tscn",26,0.85,6,true]
15;["LeafBug.tscn",30,0.8,0,false];["MagmaCrab.tscn",3,4,10,true]

16;["FireBug.tscn",160,0.15,0,false];["LeafBug.tscn",28,0.8,6,true]
17;["FireBug.tscn",170,0.15,0,false];["LeafBug.tscn",30,0.75,6,true]
18;["FireBug.tscn",180,0.14,0,false];["LeafBug.tscn",32,0.75,6,true]
19;["FireBug.tscn",190,0.14,0,false];["LeafBug.tscn",34,0.7,6,true]
20;["LeafBug.tscn",40,0.7,0,false];["MagmaCrab.tscn",4,4,10,true]

